"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name"
"9074","ENSG00000148053",94.2065709167219,1.50215229059744,0.00627831258191669,0.0285751770106891,"NTRK2"
"9094","ENSG00000148219",105.027159128547,1.53130732457256,8.33915544313308e-05,0.000856225566744132,"ASTN2"
"9137","ENSG00000148488",10.5423510377831,1.20168261647103,0.0117680237209348,0.0468597489601561,"ST8SIA6"
"9306","ENSG00000149948",761.901706843153,-2.91581082638187,7.44613135600702e-14,1.40667269761592e-11,"HMGA2"
"9349","ENSG00000150637",36.114597270512,1.25821926329786,0.00119870452540855,0.00751340971685743,"CD226"
"9359","ENSG00000150750",10.715630379553,1.39211482763511,0.00279542084971697,0.0149148747629699,"C11orf53"
"9400","ENSG00000151136",479.904128505115,1.32581669905376,2.84035393833446e-06,5.0953199281108e-05,"BTBD11"
"9419","ENSG00000151322",55.3792798693477,1.49641191507828,2.60266260266742e-05,0.000328888884342124,"NPAS3"
"9461","ENSG00000151617",592.805900464846,1.07979734540698,0.000537737012409893,0.00394875537471145,"EDNRA"
"9462","ENSG00000151623",189.525125621447,1.1454124321365,4.01207022091754e-07,9.56395960843346e-06,"NR3C2"
"9477","ENSG00000151702",1561.9629878225,1.27147172385588,6.19436574667987e-07,1.39359298942546e-05,"FLI1"
"9494","ENSG00000151834",10.7044062814726,-1.06423282231264,0.000672550442197208,0.00470174327305442,"GABRA2"
"9581","ENSG00000152503",45.9622244882278,1.25008277141429,0.000538781553040161,0.00395252437051123,"TRIM36"
"9587","ENSG00000152578",14.1492042847761,2.35438825549483,2.86189005895734e-06,5.12782354921956e-05,"GRIA4"
"9604","ENSG00000152689",678.169846369862,1.1568382889823,3.19907846996488e-05,0.000390407882122546,"RASGRP3"
"9608","ENSG00000152760",120.41722701035,1.35228364554224,1.56160166209228e-07,4.32749668353771e-06,"TCTEX1D1"
"9615","ENSG00000152784",292.367116042813,2.17090896415002,2.95316569447096e-12,3.60286214725457e-10,"PRDM8"
"9633","ENSG00000152953",215.822891460872,1.22225888471322,4.72945023857022e-05,0.000536230678352737,"STK32B"
"9678","ENSG00000153283",220.400488637852,-2.45616837781641,4.60212049245794e-14,9.39583947072432e-12,"CD96"
