"","ensembl_gene_id","baseMean","log2FoldChange","pvalue","padj","external_gene_name","FoldChange","FC"
"6189","ENSG00000129675",1974.57325761256,1.48651758349685,1.68017891364763e-13,2.91477049458917e-11,"ARHGEF6",2.80211775355076,2.80211775355076
"6191","ENSG00000129682",436.348743482536,1.81103994800807,4.7552117783428e-11,3.92069823878088e-09,"FGF13",3.50895135591986,3.50895135591986
"6374","ENSG00000130821",15695.6046364034,-1.11490583023551,0.00126563051309996,0.00784309373511377,"SLC6A8",0.461721292549013,-2.16580871650802
"6462","ENSG00000131389",8039.52788149103,-1.03305473379707,0.00224004466386705,0.0124588992683428,"SLC6A6",0.488674343244457,-2.04635257370112
"6622","ENSG00000132481",277.933861811729,1.67546796600364,2.11223225925538e-10,1.49997902716764e-08,"TRIM47",3.19422948743767,3.19422948743767
"6728","ENSG00000133063",180.55098714722,1.30920150585167,0.000205485205843606,0.00178806088656952,"CHIT1",2.47804348769311,2.47804348769311
"6887","ENSG00000134250",9407.28272937337,1.01346677141571,7.6495273098272e-10,4.76302102951315e-08,"NOTCH2",2.01875631306336,2.01875631306336
"6938","ENSG00000134508",826.500608816417,1.32670787251552,1.93423562062383e-11,1.81407123269258e-09,"CABLES1",2.50829645933345,2.50829645933345
"6940","ENSG00000134531",1540.17302613376,2.15192584299329,1.23018178610493e-25,2.63715826889866e-22,"EMP1",4.44420646889211,4.44420646889211
"6941","ENSG00000134532",524.84913655167,1.34264065334092,9.85660104984029e-07,2.07590393479163e-05,"SOX5",2.53615101516436,2.53615101516436
"6980","ENSG00000134769",114.363645812896,1.53859097386212,1.55347854449222e-05,0.000212793236318122,"DTNA",2.90510634023715,2.90510634023715
"7010","ENSG00000134917",161.930115863131,1.77482996175424,8.10897659994236e-11,6.47251610950718e-09,"ADAMTS8",3.42197675954287,3.42197675954287
"7060","ENSG00000135248",71.3642668087886,-2.9975607713379,1.28837407964034e-11,1.27193035783441e-09,"FAM71F1",0.125211521823022,-7.98648547226691
"7087","ENSG00000135373",102.57682287599,-2.60607022719073,3.10186630516192e-14,6.60235542911486e-12,"EHF",0.164245958070585,-6.08842988739026
"7201","ENSG00000135925",226.797143137371,3.33602132448096,1.66018273737151e-22,1.99301617255975e-19,"WNT10A",10.0981655168172,10.0981655168172
"7283","ENSG00000136286",83.3748930758358,1.06878176199504,0.00284057168701154,0.0151342512818374,"MYO1G",2.09766131570217,2.09766131570217
"7310","ENSG00000136488",638417.086797431,1.14764440453982,9.88582817931673e-05,0.000987332696564571,"CSH1",2.21551854743446,2.21551854743446
"7545","ENSG00000137731",9.48580518414454,1.19862894748821,0.00921322062920906,0.0386777419952192,"FXYD2",2.29521443640347,2.29521443640347
"7611","ENSG00000138028",31.7741211024448,-1.48318673134668,1.92166559184054e-06,3.69698895784091e-05,"CGREF1",0.357697829354319,-2.79565576845994
"7770","ENSG00000138795",254.320830686824,1.33937411526046,0.002857731186079,0.0152013875144635,"LEF1",2.5304151791521,2.5304151791521
"7777","ENSG00000138821",16199.2484335918,-1.39109807667555,1.30617589943454e-10,9.87429498585125e-09,"SLC39A8",0.381274492793968,-2.62278232323393
"7806","ENSG00000139174",326.626335036684,1.04204278040395,1.62296852408551e-05,0.000220600232540101,"PRICKLE1",2.05914122591711,2.05914122591711
"7917","ENSG00000139890",18.877664721205,-1.55802703881216,6.91094526123847e-06,0.000107078621156577,"REM2",0.339615206051369,-2.9445089094413
"7926","ENSG00000139970",164.343085922009,1.3758818837622,0.000947088544202581,0.0062196983344875,"RTN1",2.59526504580321,2.59526504580321
"7945","ENSG00000140090",60.3175304311308,2.47797495975017,6.62358497353409e-18,3.10604737852664e-15,"SLC24A4",5.57114922574772,5.57114922574772
"7994","ENSG00000140459",43776.3045891688,-1.1774465627346,2.17528154334466e-07,5.71668561110858e-06,"CYP11A1",0.44213334131372,-2.26176111719754
"8104","ENSG00000141232",504.324777230854,1.1950257055878,4.05070220210827e-06,6.88390002772782e-05,"TOB1",2.28948911439168,2.28948911439168
"8469","ENSG00000143627",167.375012406644,-5.45479123202409,8.90613722644956e-40,8.85116533929024e-36,"PKLR",0.0228004920293348,-43.8587026417418
"8619","ENSG00000144619",328.508326052647,1.08412635585891,0.000168150894361783,0.00151684539873334,"CNTN4",2.12009124305433,2.12009124305433
"8720","ENSG00000145362",854.838512505902,1.7742588782383,1.16145925417827e-09,6.84827409359495e-08,"ANK2",3.42062245546055,3.42062245546055
"8784","ENSG00000145832",24.8600560038042,1.65174418758566,2.10481605502895e-06,3.97794328989477e-05,"SLC25A48",3.1421328679281,3.1421328679281
"8790","ENSG00000145861",146.19571202827,1.11263291219927,0.000260353276183261,0.00217047847911445,"C1QTNF2",2.16239924339589,2.16239924339589
"8838","ENSG00000146122",1455.13210966683,1.15880663362922,1.05607778806898e-05,0.000153042040441943,"DAAM2",2.23272664853202,2.23272664853202
"8862","ENSG00000146285",32.6337245732851,-2.07842514341,3.26879672866019e-08,1.17488775353952e-06,"SCML4",0.236772733531985,-4.22345928554697
"9074","ENSG00000148053",94.2065709167219,1.50215229059744,0.00627831258191669,0.0285751770106891,"NTRK2",2.83264987459697,2.83264987459697
"9264","ENSG00000149571",20.8814436392082,-1.03040099955526,0.000478013822761848,0.00357670178228087,"KIRREL3",0.4895740519347,-2.04259191443704
"9306","ENSG00000149948",761.901706843153,-2.91581082638187,7.44613135600702e-14,1.40667269761592e-11,"HMGA2",0.132511472373544,-7.54651640411211
"9324","ENSG00000150337",596.118978878732,1.67238301152919,1.84577106843329e-07,4.99506594281513e-06,"FCGR1A",3.18740647621184,3.18740647621184
"9349","ENSG00000150637",36.114597270512,1.25821926329786,0.00119870452540855,0.00751340971685743,"CD226",2.39200310671425,2.39200310671425
"9397","ENSG00000151117",433.823638694131,1.39924374255605,4.81214895549626e-07,1.1186848524582e-05,"TMEM86A",2.63763281799747,2.63763281799747
"9494","ENSG00000151834",10.7044062814726,-1.06423282231264,0.000672550442197208,0.00470174327305442,"GABRA2",0.478226896499715,-2.09105762833353
"9522","ENSG00000152092",24.7958284586498,1.47773299334685,0.00146241271377143,0.00881677990472242,"ASTN1",2.78510746012713,2.78510746012713
"9539","ENSG00000152217",919.023116620592,1.32683905294184,1.06991643454068e-08,4.61355345307973e-07,"SETBP1",2.50852454243441,2.50852454243441
"9561","ENSG00000152402",1632.40136133986,1.99145132984117,9.77770782329237e-16,2.82162083839087e-13,"GUCY1A2",3.97636813781464,3.97636813781464
"9587","ENSG00000152578",14.1492042847761,2.35438825549483,2.86189005895734e-06,5.12782354921956e-05,"GRIA4",5.11377347716876,5.11377347716876
"9615","ENSG00000152784",292.367116042813,2.17090896415002,2.95316569447096e-12,3.60286214725457e-10,"PRDM8",4.50307018625686,4.50307018625686
"9706","ENSG00000153707",2853.02150696095,1.32252846136031,2.34541808005606e-06,4.34778798138619e-05,"PTPRD",2.50104057231814,2.50104057231814
"9769","ENSG00000154175",2987.12460765179,2.70170489098601,1.41578217822693e-16,5.24573515221563e-14,"ABI3BP",6.5057026815581,6.5057026815581
"9780","ENSG00000154262",61.6007070142226,3.46133556943501,9.16351577288879e-27,2.50014032159944e-23,"ABCA6",11.0145264827239,11.0145264827239
"9814","ENSG00000154556",1436.2181560122,1.64300925039395,3.9107754462844e-07,9.35220658915437e-06,"SORBS2",3.12316599574496,3.12316599574496
"9816","ENSG00000154589",260.137958062953,1.10959461539864,0.00192891758368144,0.0110901675328443,"LY96",2.15785005095206,2.15785005095206
"9864","ENSG00000155011",387.790428125795,1.519427686133,0.00705923133939881,0.0313543955835485,"DKK2",2.86677302804028,2.86677302804028
"9936","ENSG00000155816",12.5527253822792,-1.06182711864738,0.000277501429236785,0.00228487596550189,"FMN2",0.479025008303349,-2.0875736812612
"9957","ENSG00000155962",24.2314604888014,1.32173095055822,0.00348422820775147,0.0178902749308875,"CLIC2",2.49965839825071,2.49965839825071
"10023","ENSG00000156475",311.602182767956,2.01573717870627,2.41593511998555e-10,1.69805725576127e-08,"PPP2R2B",4.0438715686915,4.0438715686915
"10150","ENSG00000157554",655.671140285554,1.00609751806782,1.49219060200567e-05,0.000205241174827654,"ERG",2.00847084321857,2.00847084321857
"10341","ENSG00000159167",3270.92596635644,1.07063505409343,0.00139765360117983,0.00849931131499306,"STC1",2.10035771175333,2.10035771175333
"10347","ENSG00000159189",3078.08503399934,1.67519224054725,2.15228652551564e-06,4.04980709741538e-05,"C1QC",3.19361906998853,3.19361906998853
"10784","ENSG00000162493",3050.38015461182,2.5613443577528,1.18884892829869e-22,1.48665558483751e-19,"PDPN",5.90257454929337,5.90257454929337
"10798","ENSG00000162551",2345.36449701013,-3.28249378640759,1.36750365920646e-17,6.21841209395517e-15,"ALPL",0.1027710774557,-9.73036407476659
"10847","ENSG00000162711",176.760030557778,1.32017010095448,5.5570572878572e-05,0.00061156182918434,"NLRP3",2.49695548397695,2.49695548397695
"10862","ENSG00000162747",1005.88225314825,-2.56583562169153,1.02674922811333e-07,3.0449404974444e-06,"FCGR3B",0.168891002634767,-5.92097852697657
"11368","ENSG00000164330",640.405648872442,1.74911097393881,5.93281093580879e-12,6.66874613503721e-10,"EBF1",3.36151357089096,3.36151357089096
"11477","ENSG00000164756",44.7139812248233,2.28552540787035,4.75707984007306e-08,1.61321446508783e-06,"SLC30A8",4.87541628482664,4.87541628482664
"11501","ENSG00000164867",12119.5142220301,-1.21407865718128,2.37194104516114e-05,0.000305739413377851,"NOS3",0.431048270683886,-2.31992579024487
"11768","ENSG00000165966",552.708383116185,1.32070364330038,5.15022487792838e-06,8.35505670466954e-05,"PDZRN4",2.4978790872502,2.4978790872502
"11773","ENSG00000165985",41.0126417655284,1.11022653369102,0.0032662155443564,0.0169506589862051,"C1QL3",2.15879542302162,2.15879542302162
"11816","ENSG00000166159",2.24268156410104,1.59993117125581,0.00163896455837432,0.00970763850916325,"LRTM2",3.03128851149467,3.03128851149467
"11854","ENSG00000166278",886.425598190111,1.86974440967253,8.55799109709364e-09,3.81071852827855e-07,"C2",3.65467827449046,3.65467827449046
"11856","ENSG00000166292",525.4304207665,2.64463575949694,8.18436394793226e-13,1.14779967666048e-10,"TMEM100",6.25337814108691,6.25337814108691
"11916","ENSG00000166501",400.253150734516,1.39012341246954,0.000260618327053971,0.0021714817411282,"PRKCB",2.62101100728575,2.62101100728575
"12001","ENSG00000166863",2188.83596933307,1.24369437663482,0.0104742712358505,0.042827497047731,"TAC3",2.36804151997835,2.36804151997835
"12271","ENSG00000167914",10.6271600653928,1.29638308242418,0.00220665152052963,0.0123257073207026,"GSDMA",2.45612346185885,2.45612346185885
"12387","ENSG00000168386",1821.79680794084,1.47575399027406,1.44137475859153e-10,1.07608306604102e-08,"FILIP1L",2.78128963483636,2.78128963483636
"12410","ENSG00000168481",5.43931066379842,-1.43524810732469,0.000456599565344535,0.00344567919414639,"LGI3",0.369783278404075,-2.70428669548239
"12497","ENSG00000168875",286.159772724804,1.69485070165419,7.04146187945829e-07,1.55846868677214e-05,"SOX14",3.23743382065968,3.23743382065968
"12575","ENSG00000169184",187.922640866876,1.33226934336368,3.45361460161173e-05,0.000414931470870981,"MN1",2.517984397203,2.517984397203
"12602","ENSG00000169252",90.1425824470053,1.07366051577886,0.00475408185196815,0.0229967818439039,"ADRB2",2.10476697309871,2.10476697309871
"12632","ENSG00000169403",973.364558489517,1.14919231683229,9.12586730556137e-06,0.000135252113370127,"PTAFR",2.21789692174419,2.21789692174419
"12638","ENSG00000169432",982.483960239567,2.03696729224982,6.66279453563345e-09,3.06692928839618e-07,"SCN9A",4.10381954143223,4.10381954143223
"12654","ENSG00000169509",3.63259817184118,1.1765771484049,0.00155907113151583,0.00928389738076452,"CRCT1",2.26039851797955,2.26039851797955
"12660","ENSG00000169554",5243.42566288477,1.23110838691949,1.75841667995822e-06,3.42463344574342e-05,"ZEB2",2.34747271107364,2.34747271107364
"12738","ENSG00000169884",606.697641154699,-1.52090290342468,0.0105384185268555,0.0430428710979841,"WNT10B",0.34846776153573,-2.86970592514185
"12802","ENSG00000170162",10.9698204852925,1.51425372428661,0.00464087262160535,0.0225886910670807,"VGLL2",2.85651028473045,2.85651028473045
"12830","ENSG00000170290",4.12331401282525,-1.28959428791841,0.00180295325901992,0.0104906157803034,"SLN",0.409066049917481,-2.44459299470519
"12957","ENSG00000170848",124265.528797613,-1.62565059835454,0.00077869558686125,0.00530538296319633,"PSG6",0.324063715798338,-3.08581291656327
"12969","ENSG00000170891",369.113994254671,2.18198703120357,1.8332080901448e-10,1.32255387503427e-08,"CYTL1",4.53778114815391,4.53778114815391
"13071","ENSG00000171303",3398.20349041766,1.25884203383632,6.88286687013143e-06,0.000106698657286356,"KCNK3",2.39303588952056,2.39303588952056
"13091","ENSG00000171408",89.5604547251516,1.11721144671021,0.00432837999877548,0.0213305977870689,"PDE7B",2.16927273100657,2.16927273100657
"13485","ENSG00000173068",1021.13228669999,1.52413706526994,7.48150547764016e-10,4.67781129989451e-08,"BNC2",2.87614630503584,2.87614630503584
"13530","ENSG00000173267",164.127413811521,1.48613163218798,6.18619220984782e-08,1.99634409249412e-06,"SNCG",2.80136822829603,2.80136822829603
"13570","ENSG00000173467",7.67417313570147,-1.05864328304191,0.00865996234814378,0.036870873881755,"AGR3",0.48008331997671,-2.08297176425232
"13934","ENSG00000175445",861.428012722387,1.83161558986763,3.10377194255766e-11,2.70786056802443e-09,"LPL",3.55935440670102,3.55935440670102
"14011","ENSG00000175832",2703.55735428021,-1.35485269498649,1.06029954617518e-16,4.07970640766789e-14,"ETV4",0.390974739632603,-2.55770999666038
"14164","ENSG00000176641",264.685808482048,1.81119984593115,9.44116814032093e-08,2.83348338227312e-06,"RNF152",3.50934028435723,3.50934028435723
"14498","ENSG00000178199",68.8836145317475,1.03342344232479,0.000842403497691029,0.0056509194842877,"ZC3H12D",2.04687562538284,2.04687562538284
"14506","ENSG00000178233",14.7051451550147,-1.21754875064783,0.000927836945566621,0.00612168444392998,"TMEM151B",0.430012722421347,-2.32551259034646
"14613","ENSG00000178878",1435.60727202168,1.80714765208576,1.05317224854601e-07,3.11100448064596e-06,"APOLD1",3.49949719603134,3.49949719603134
